,x
1,The Good Shepherd
2,To Kill a Mockingbird
3,Mr. Smith Goes to Washington
4,Three Colors: Red,Rain Man
5,The Last Mistress
6,Rush Hour
7,The 400 Blows
8,The Talented Mr. Ripley
9,A Nightmare on Elm Street
10,Cars
11,Donnie Darko
12,Ariel
13,Shriek If You Know What I Did Last Friday the Thirteenth
14,Dawn of the Dead
15,Notting Hill
16,A Nightmare on Elm Street
17,The Lady Eve
18,A Time to Kill
19,The Prisoner of Zenda
20,Popular Music
21,88 Minutes
22,Yankee Doodle Dandy
23,Confession of a Child of the Century
24,Terminator 3: Rise of the Machines
25,Superstar: The Karen Carpenter Story
26,48 Hrs.,The Breakfast Club
27,Training Day
28,A Good Marriage
29,The Day the Earth Stood Still
30,7 Virgins
31,The Sugarland Express,The Ceremony
32,The Miracle Worker,Boogie Nights
33,American Pie 2
34,Blood: The Last Vampire
35,Red River
36,Mere Brother Ki Dulhan
37,Notting Hill
38,The Killing,The Terminal
39,Back to the Future Part II
40,Three Colors: Red
41,Sleepless in Seattle
42,The Wedding Planner
43,Sleepless in Seattle
44,88 Minutes
45,Cockles and Muscles
46,Best Worst Movie,Popular Music
47,The Breakfast Club
48,Terminator 3: Rise of the Machines
49,Swimming Pool
50,American Pie 2
51,The 400 Blows
52,The China Syndrome
53,Color of Night,Young and Innocent
54,Fools Rush In
55,Rumble Fish
